,x,y
630,don't bother - go to the store.,0
631,"i posted more detailed comments under the grey or black phone, but i have the fire red and it's a great color!",1
632,i did not have any problem with this item and would order it again if needed.,1
633,you get what you pay for i guess.,0
634,"not only did the software do a great job of this, i could also make my own ringtones form my existing cds without an internet connection.",1
635,im surprised this is a good quality car charger and there's not much reviews about it.,1
636,these are fabulous!,1
637,"however, bt headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0
638,i used bitpim (a free program you can find on the internet)to transfer data to the phone.the price of the cable was excellent.,1
639,disappointing accessory from a good manufacturer.,0
640,"performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0
641,very wind-resistant.,1
642,"obviously they have a terrible customer service, so you get what you pay for.",0
643,"they do not last forever, but is not overly expensive to replace.easy to operate and the sound is much better than others i have tried.",1
644,"i contacted the company and they told me that, although the unit was still under warranty, if i couldn't produce my receipt i was out of luck.",0
645,linksys should have some way to exchange a bad phone for a refurb unit or something!,0
646,phone is sturdy as all nokia bar phones are.,1
647,great phone.,1
648,"when i placed my treo into the case, not only was it not snug, but there was a lot of extra room on the sides.",0
649,i'm pleased.,1
650,battery is terrible.,0
651,i found the product to be easy to set up and use.,1
652,the earpiece on this is too large or too heavy...it keeps falling out of my ear.,0
653,utter crap.. sound quality is terrible.,0
654,"the charger arrived within the promised timeframe, but it did not work.",0
655,"no ear loop needed, it's tiny and the sound is great.",1
656,"finally, after three or four times the spring of the latch broke and i could not use it any longer on the visor.",0
657,"the handsfree part works fine, but then the car tries to download the address book, and the treo reboots.overall, i still rate this device high.",1
658,talk about useless customer service.,0
659,"it felt too light and ""tinny."".",0
660,this does not fit the palm tungsten e2 and it broke the first time i tried to plug it in.,0
661,i'm happy about this purchase- good quality and low price.,1
662,i love the look and feel of samsung flipphones.,1
663,its well-designed and very sharp -- the blue is a very nice color.,1
664,does everything it should and more.,1
665,i could not recommend these more.,0
666,nice sound.,1
667,"looks good in the picture, but this case was a huge disappointment!!",0
668,much less than the jawbone i was going to replace it with.,1
669,setup went very smoothly.,1
670,its extremely slow and takes forever to do anything with it.,0
671,"a must study for anyone interested in the ""worst sins"" of industrial design.",0
672,the first thing that happened was that the tracking was off.,0
673,"it is well made, easy to access the phone and has a handy, detachable belt clip.",1
674,then i had to continue pairing it periodically since it somehow kept dropping.,0
675,can't upload ringtones from a third party.,0
676,"bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0
677,truly awful.,0
678,"it works fine on my motorola 325 cellphone, and a lot better than the worn-out battery did.",1
679,the volume for the ringer is real good (you have choices how loud).,1
680,and none of the tones is acceptable.,0
681,camera color balance is awful.,0
682,"this product is clearly not ready for prime time, i don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0
683,i love the ringtones because they are so upbeat!,1
684,chinese forgeries abound!.,0
685,easy to pair with my samsung cell.,1
686,the instructions didn't explain that a microphone jack could be used.,0
687,i would advise to not purchase this item it never worked very well.,0
688,too bad you have to pay up to $$$ a month for the service!,0
689,works well.,1
690,the nokia ca-42 usb cable did not work with my phone.,0
691,clear crisp sound.,1
692,"i have to use the smallest earpieces provided, but it stays on pretty well.",1
693,"the biggest complaint i have is, the battery drains superfast.",0
694,the design might be ergonomic in theory but i could not stand having these in my ear.,0
695,do not buy if you want to use the holster.,0
696,the phone can also take great pictures and even video clips.,1
697,it doesn't make you look cool.,0
698,"because both ears are occupied, background is not distracting at all.",1
699,"comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1
700,"also, the phone doesn't seem to accept anything except cbr mp3s, preferably ripped by windows media player.",0
701,you can't beat the price on these.,1
702,"* comes with a strong light that you can use to light up your camera shots, and even flash sos signals (seriously!",1
703,lightweight and works well.,1
704,so just beware.,0
705,i love this cable - it allows me to connect any mini-usb device to my pc.,1
706,so anyone near you will hear part of your conversation.,0
707,this is cool because most cases are just open there allowing the screen to get all scratched up.,1
708,i bought this phone as a replacement for my startac and have regretted it since.,0
709,appears to actually outperform the original battery from china that came with my v325i.,1
710,can't store anything but phone numbers to sim.,0
711,"it lasts less than 3o minutes, if i actually try to use the phone.my wife has the same phone with the same problem.",0
712,poor quality.,0
713,"jabra ear gels ""r"" the best!.",1
714,not worth it.,0
715,the phone crashed completely and now i have to get it replaced.,0
716,"it quit working after i'd used it for about 18 months, so i just purchased another one because this is the best headset i've ever owned.",1
717,"unfortunately it will not recharge my iphone 4s, despite connecting it from multiple power sources (imac, external battery, wall outlet, etc).",0
718,it was a great phone.,1
719,if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0
720,"good value, works fine - power via usb, car, or wall outlet.",1
721,my phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
722,this is simply the best bluetooth headset for sound quality!,1
723,think it over when you plan to own this one!this sure is the last moto phone for me!,0
724,"in the span of an hour, i had two people exclaim ""whoa - is that the new phone on tv?!?",1
725,i have always used corded headsets and the freedom from the wireless is very helpful.,1
726,"this case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1
727,"other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1
728,it has everything i need and i couldn't ask for more.,1
729,after receiving and using the product for just 2 days it broke.,0
730,this product is great... it makes working a lot easier i can go to the copier while waiting on hold for something.,1
731,none of the three sizes they sent with the headset would stay in my ears.,0
732,t-mobile has the best customer service anywhere.,1
733,arrived quickly and much less expensive than others being sold.,1
734,we have tried 2 units and they both failed within 2 months.. pros,0
735,"provides good protection and looks classy, too.",1
736,krussel always good.,1
737,"the tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
738,the design is very good.4.,1
739,i great reception all the time.,1
740,i would highly recommend this product.,1
741,"couldn't use the unit with sunglasses, not good in texas!",0
742,it dit not work most of the time with my nokia 5320.,0
743,"bought mainly for the charger, which broke soon after purchasing.",0
744,"if you like a loud buzzing to override all your conversations, then this phone is for you!",0
745,fantastic buy and will get again for whatever my next phone is,1
746,"stay away from this store, be careful.",0
747,this blueant supertooth hands-free phone speaker is awesome.,1
748,does not fit.,0
749,.... item arrived quickly and works great with my metro pcs samsung sch-r450 slider phone and sony premium sound in ear plugs.,1
750,"it is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1
751,disappointing.,0
752,blue ant is easy to use.,1
753,cheap but hey it works.. was pleasantly suprised given the low cost of this item.,1
754,the camera on the phone may be used as a dustpan when indoors... i'd rather be using a disposable then this.,0
755,then a few days later the a puff of smoke came out of the phone while in use.,0
756,it's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
757,the nano stated it.my son was dissapointed.,0
758,the sound quality is excellent as well.,1
759,its the best headset i have used.,1
760,would not reccommend.,0
761,they have been around for years and carries the highest quality of anti-glare screen protector that i have found to date.,1
762,just what i wanted.,1
763,this particular model would not work with my motorola q smartphone.,0
764,wont work right or atleast for me.,0
765,in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0
766,"but now that it is ""out of warranty"" the same problems reoccure.bottom line... put your money somewhere else... cingular will not support it.",0
767,"i really wanted the plantronics 510 to be the right one, but it has too many issues for me.the good",0
768,great product.,1
769,crisp and clear.,1
770,after the first charge kept going dead after 12 minutes.,0
771,"very cheap plastic, creaks like an old wooden floor.",0
772,"i get absolutely horrible reception in my apartment, where with other phones i have not had this problem.",0
773,the reception has been generally good.,1
774,"excellent sound, battery life and inconspicuous to boot!.",1
775,great bluetooth!.,1
776,i highly recommend this case.,1
777,worthwhile.,1
778,this is a great deal.,1
779,"after my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0
780,i am sorry i made this purchase.,0
781,i bought these hoping i could make my bluetooth headset fit better but these things made it impossible to wear.,0
782,treo and t-mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0
783,it was horrible!.,0
784,i don't think it would hold it too securly on your belt.,0
785,this allows the possibility of double booking for the same date and time after the first.,0
786,they work about 2 weeks then break.,0
787,it is simple to use and i like it.,1
788,"it's a great tool for entertainment, communication, and data management.oh, be sure to use activesync 4.2 for optimal data synchronization results!",1
789,i can't use this case because the smell is disgusting.,0
790,not what i wanted.,0
791,i own 2 of these cases and would order another.,1
792,great phone.,1
793,i bought this battery with a coupon from amazon and i'm very happy with my purchase.,1
794,"the internet access was fine, it the rare instance that it worked.",0
795,perfect for the ps3.,1
796,"five star plus, plus.",1
797,a good quality bargain.. i bought this after i bought a cheapy from big lots that sounded awful and people on the other end couldn't hear me.,1
798,$50 down the drain.,0
799,i tried talking real loud but shouting on the telephone gets old and i was still told it wasn't great.,0
800,"good , works fine.",1
801,for the price this was a great deal.,1
802,"great price, too!",1
803,"if there is a wind, it is completely useless.",0
804,yes it's shiny on front side - and i love it!,1
805,does not work.,0
806,"at first i thought i was grtting a good deal at $7.44, until i plugged it into my phone (v3c razr).",0
807,the reception through this headset is excellent.,1
808,2 thumbs up to this seller,1
809,"i have a verizon lg phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1
810,improper description.... i had to return it.,0
811,#1 it works - #2 it is comfortable.,1
812,battery charge-life is quite long.,1
813,the jabra eargels fit my ears very well.,1
814,battery has no life.,0
815,i checked everywhere and there is no feature for it which is really disappointing.,0
816,product is exactly as described.,1
817,gets a signal when other verizon phones won't.,1
818,doesn't do the job.,0
819,i would recommend it.,1
820,plan on ordering from them again and again.,1
821,"that being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1
822,i have been very satisfied with this cell phone from day one.,1
823,they keep getting better and better (this is my third one and i've had numerous palms too).,1
824,awkward to use and unreliable.,0
825,the shipping time was also very quick!,1
826,not as good as i had hoped.,0
827,good case!.,1
828,doesn't work.,0
829,really good product.,1
830,unfortunately it did not work.,0
831,all three broke within two months of use.,0
832,dont buy it.,0
833,"my father has the v265, and the battery is dying.",0
834,"however, the ear pads come off easily and after only one week i lost one.",0
835,"the calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0
836,"horrible, horrible protector.",0
837,i don't like this nokia either.,0
838,"reaching for the bottom row is uncomfortable, and the send and end keys are not where i expect them to be.3.",0
839,i have bought this nokia cell phone a few weeks ago and it was a nightmare.,0
840,it would take too long to describe how bad my customer service experience has been with amazon.,0
841,the only very disappointing thing was there was no speakerphone!!!!,0
842,terrible.. my car will not accept this cassette.,0
843,"product is useless, since it does not have enough charging current to charge the 2 cellphones i was planning to use it with.",0
844,it's not what it says it is.,0
845,stay away from the q!.,0
846,used and dirty.,0
847,very unreliable service from t-mobile !,0
848,not good enough for the price.,0
849,i bought two of them and neither will charge.,0
850,it looks very nice.,1
851,"this is an excellent tool, especially when paired with your phone's auto-answer.",1
852,i have read other's reviews here but i haven't had any problem with it.,1
853,these products cover up the important light sensor above the ear outlet.,0
854,comfortable in my hand.,1
855,just does not work.,0
856,poor reliability.,0
857,(it works!),1
858,"if i take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0
859,"terrible product, and waste of money!",0
860,last time buying from you.,0
861,it was a waste of my money.,0
862,so far it has worked like a charm.,1
863,"i have only had it for a few weeks, but so far, so good.",1
864,"but, in any case, the best part is, you can download these pictures to your laptop using ir, or even send pictures from your laptop to the phone.",1
865,would recommend this item.,1
866,it's been my choice headset for years.great sound; good volume; good noise cancellation.,1
867,"nice case, feels good in your hands.",1
868,the item received was counterfeit.,0
869,"just really good.. so far, probably the best bt headset i have ever had.",1
870,works fine.,1
871,i received my headset in good time and was happy with it.,1
872,i was very pleased to see that i could replace my well travled swivel holster for my blackberry flip.,1
873,my sister has one also and she loves it.,1
874,good quality.,1
875,this is by far the worst purchase i've made on amazon.,0
876,excellent dual-purpose headset.,1
877,excellent!.,1
878,does not work for listening to music with the cingular 8125.,0
879,"it seems completely secure, both holding on to my belt, and keeping the iphone inside.",1
880,"the bottowm line...another worthless, cheap gimmick from sprint.",0
881,having trouble with volume.,0
882,the only good thing was that it fits comfortably on small ears.,1
883,warning - do not buy!!.,0
884,"i am pairing this with my iphone, and i could not be happier with it so far.",1
885,"when it opens, the battery connection is broken and the device is turned off.",0
886,"i didn't want the clip going over the top of my ear, causing discomfort.",0
887,best headset ever!!!.,1
888,don't trust their website and don't expect any helpful support.,0
889,it was that loud.glad to say that the plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1
890,the speaker is of low quality so as making the ring tones sound very cheap.,0
891,"fits comfortably, came with three sizes of earbud tips.",1
892,excellent product for the price.,1
893,bad reception.,0
894,this product is very high quality chinese crap!!!!!!,0
895,it was quite comfortable in the ear.,1
896,great phone.,1
897,don't buy this product - it fails!.,0
898,everything about this product is wrong.first,0
899,the pairing of the two devices was so easy it barely took a couple minutes before i started making calls with the voice dialing feature.,1
900,"this was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0
901,terrible phone holder.,0
902,the cutouts and buttons are placed perfectly.,1
903,i love being able to use one headset for both by land-line and cell.,1
904,problem is that the ear loops are made of weak material and break easily.,0
905,not nearly as good looking as the amazon picture makes it look.,0
906,"but despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official oem product.",1
907,how stupid is that?,0
908,"i can hear while i'm driving in the car, and usually don't even have to put it on it's loudest setting.",1
909,seller shipped quickly and much cheaper than the competitors.,1
910,"good show, samsung.",1
911,so i bought about 10 of these and saved alot of money.,1
912,it always cuts out and makes a beep beep beep sound then says signal failed.,0
913,couldn't figure it out,0
914,"my phone sounded ok ( not great - ok), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0
915,so i had to take the battery out of the phone put it all back together and then restart it.,0
916,"while i managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0
917,leopard print is wonderfully wild!.,1
918,works for me.,1
919,"saggy, floppy piece of junk.",0
920,much better than the hard plastic cases.,1
921,it also had a new problem.,0
922,happy so far!.,1
923,cool phone.,1
924,works good.,1
925,motorola finally got the voice quality of a bluetooth headset right.,1
926,it looses connection to the phone even when it is within a couple feet between the two.,0
927,"but it is great, i would really recommend it",1
928,makes it easier to keep up with my bluetooth when i'm not wearing it.,0
929,as i said above....pretty useless!,0
930,never got it!!!!!,0
931,this pair of headphones is the worst that i have ever had sound-wise.,0
932,[...] down the drain because of a weak snap!,0
933,does not charge the cingular (att) 8525 phone.,0
934,"you get extra minutes so that you can carry out the call and not get cut off.""",1
935,"however, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and i couldn't receive and place calls.",0
936,i kept catching the cable on the seat and i had to pull the phone out to turn it on an off.,0
937,the headset fulfills my requirements so i am happy with my purchase.,1
938,logitech bluetooth headset is a 10!.,1
939,"i like the fact that it rests lightly against your ear, rather than inside.",1
940,a lot of websites have been rating this a very good phone and so do i.,1
941,i have tried these cables with my computer and my ipod and it works just fine.,1
942,"the mic there is a joke, and the volume is quite low.",0
943,i'm returning them.,0
944,i does not maintain a connection with the computer while it is on my lap.,0
945,it is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1
946,i have had mine for about a year and this christmas i bought some for the rest of the family.,1
947,"otherwise, easy to install and use, clear sound.",1
948,nice leather.,1
949,i had to purchase a different case.,0
950,it is a joy to use.,1
951,very much disappointed with this company.,0
952,very satisifed with that.,1
953,it didn't charge for me.,0
954,this is the phone to get for 2005.... i just bought my s710a and all i can say is wow!,1
955,buttons are too small.,0
956,just reading on the specs alone makes you say wow.,1
957,love it.. great armband.,1
958,i really like this product over the motorola because it is allot clearer on the ear piece and the mic.,1
959,"however, the keypads are so tinny that i sometimes reach the wrong buttons.",0
960,i exchanged the sony ericson z500a for this and i'm pretty happy with that decision.,1
961,i was very impressed with the price of the cases.,1
962,also makes it easier to hold on to.,1
963,"i use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1
964,it's pretty easy.,1
965,i cannot make calls at certain places.,0
966,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0
967,beautiful styling though.,1
968,this company charge me a restocking fee and still not given me my refund back.,0
969,i'm trying to return it for a refund.,0
970,i plugged it in only to find out not a darn thing worked.,0
971,excellent product.,1
972,earbud piece breaks easily.,0
973,lousy product.,0
974,this phone tries very hard to do everything but fails at it's very ability to be a phone.,0
975,it is the best charger i have seen on the market yet.,1
976,sweetest phone!!!,1
977,":-)oh, the charger seems to work fine.",1
978,it fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1
979,not enough volume.,0
980,echo problem....very unsatisfactory,0
981,you could only take 2 videos at a time and the quality was very poor.,0
982,don't waste your money.,0
983,i am going to have to be the first to negatively review this product.,0
984,adapter does not provide enough charging current.,0
985,"there was so much hype over this phone that i assumed it was the best, my mistake.",0
986,you also cannot take pictures with it in the case because the lense is covered.,0
987,phone falls out easily.,0
988,"it didn't work, people can not hear me when i talk.",0
989,the text messaging feature is really tricky to use.,0
990,i'm really disappointed all i have now is a charger that doesn't work.,0
991,painful on the ear.,0
992,lasted one day and then blew up.,0
993,disappointed.,0
994,kind of flops around.,0
995,the screen does get smudged easily because it touches your ear and face.,0
996,what a piece of junk.. i lose more calls on this phone.,0
997,item does not match picture.,0
998,the only thing that disappoint me is the infra red port (irda).,0
999,"you can not answer calls with the unit, never worked once!",0
